school_name,composite_score,equity_rank,excellence_rank,efficiency_rank,Enrollment,equity_score_lmodel,excellence_score_lmodel,efficiency_score_lmodel,composite_score_lmodel,equity_score_pmodel,excellence_score_pmodel,efficiency_score_pmodel,composite_score_pmodel
San Francisco Community Alternative,18.61,28,34,43,234,22.20077373443857,21.341189965066768,36.65453142159541,25.59931721388483,21.37930478292876,20.057223676886025,5.056695590719096,16.96813220836566
Yu (Alice Fong) Elementary,66.85,69,98,78,595,54.70904955986647,61.51284166401597,66.48961513684749,59.35513898014911,63.78171429236931,97.0361885888536,41.53590291232917,66.53388002148034
Giannini (A.P.) Middle,49.9,26,63,99,1184,20.61500418197867,39.543969641153126,84.39066536599873,41.2911608427773,19.5428526355798,50.25447004269484,96.5084017453579,46.46214426480309
Independence High,43.58,82,7,84,,65.0165516508558,4.39377440457257,71.60420091660498,51.50776965572229,78.62276628966559,1.9059052350693755,53.980327398485116,53.28294130322142
Lawton Alternative,36.84,21,76,79,602,16.650580300828924,47.70383639250218,67.34204610014041,37.08676077357511,15.086080739269732,66.45163515462065,43.4497925619481,35.01839729877705
Jefferson Elementary,17.61,11,83,27,509,8.721732538529437,52.09761079707476,23.015636008908746,23.139177970760596,6.890232906819193,75.76869111994787,0.9753978770683872,22.631138702663662
Key (Francis Scott) Elementary,12.29,0,84,68,552,0.0,52.72529285487083,57.965305503918316,27.672649589697286,0.0,77.13215882714827,25.569134802163074,25.675323407327838
Harte (Bret) Elementary,48.91,91,40,16,256,72.15251463692535,25.107282311843253,13.638895412686663,45.76280174959515,89.19920550007033,25.54943474811962,0.1533202976310741,51.02529151147284
Marshall (Thurgood) High,44.18,95,35,6,482,75.32405374184515,21.968872022862847,5.1145857797574985,44.432891321577664,93.97288122249459,20.94202867729163,0.004778416221039058,52.22314238462546
Carver (George Washington) Elementary,41.76,88,36,8,92,69.7738603082355,22.596554080658926,6.819447706343332,42.24093060086832,85.64791975708384,21.839289259979623,0.013215810922230552,48.28708614626738
Drew (Charles) College Preparatory Academy,34.05,71,19,22,203,56.294819112326365,11.925959098125546,18.753481192444163,35.81726962880561,66.02909647213686,8.431564862906825,0.47278892358532354,35.24063668269146
Brown Jr. (Willie L) Middle,33.99,48,29,69,370,38.058469259037544,18.202779676086358,58.81773646721125,38.28436366534318,41.08528609930857,15.826846654540827,26.923793160093073,31.23030300331276
Malcolm X Academy,30.24,94,12,0,101,74.5311689656152,7.532184693552976,0.0,39.14863065619584,92.77539408877419,4.2530628762584595,0.0,47.45096276345171
Aptos Middle,51.87,73,53,64,916,57.88058866478626,33.26714906319231,54.55558165074665,50.89597701087787,68.28993700591688,38.8496545077996,20.635325688471866,49.016213552026315
Miraloma Elementary,36.52,17,97,70,349,13.479041195909131,60.88515960621989,59.670167430504165,36.87835235713558,11.67769291361913,95.56530550469469,28.329170219663798,36.81246538789919
