school_name,asian_students,african_american_students,not_reported_students,filipino_students,hispanic_or_latino_students,two_or_more_races_students,white_students,pacific_islander_students,american_indian_or_alaska_native_students,asian_percent,african_american_percent,not_reported_percent,filipino_percent,hispanic_or_latino_percent,two_or_more_races_percent,white_percent,pacific_islander_percent,american_indian_or_alaska_native_percent
Ortega (Jose) Elementary,223,18,10,21,44,39,18,,1,59.62566844919787,4.81283422459893,2.6737967914438503,5.614973262032086,11.76470588235294,10.427807486631016,4.81283422459893,,0.267379679144385
Serra (Junipero) Elementary,19,12,13,5,187,11,10,3,,7.307692307692308,4.615384615384616,5.0,1.9230769230769231,71.92307692307692,4.230769230769231,3.8461538461538463,1.153846153846154,
Lafayette Elementary,173,7,28,12,62,72,118,2,,36.49789029535865,1.4767932489451476,5.9071729957805905,2.5316455696202533,13.080168776371309,15.18987341772152,24.894514767932492,0.42194092827004215,
Lakeshore Alternative Elementary,123,59,17,27,82,52,59,1,1,29.216152019002372,14.014251781472684,4.038004750593824,6.413301662707839,19.47743467933492,12.351543942992874,14.014251781472684,0.23752969121140144,0.23752969121140144
Lawton Alternative,432,12,49,12,34,31,29,1,1,71.8801996672213,1.9966722129783694,8.153078202995008,1.9966722129783694,5.657237936772046,5.158069883527454,4.825291181364393,0.16638935108153077,0.16638935108153077
Flynn (Leonard R.) Elementary,4,44,21,3,214,31,64,2,,1.0443864229765014,11.488250652741515,5.483028720626632,0.7832898172323759,55.87467362924282,8.093994778067886,16.710182767624023,0.5221932114882507,
Longfellow Elementary,48,7,17,103,243,19,11,6,,10.572687224669604,1.5418502202643172,3.7444933920704844,22.687224669603523,53.524229074889874,4.185022026431718,2.4229074889867843,1.3215859030837005,
Marshall Elementary,2,5,5,1,208,2,23,,1,0.8097165991902834,2.0242914979757085,2.0242914979757085,0.4048582995951417,84.21052631578947,0.8097165991902834,9.31174089068826,,0.4048582995951417
McKinley Elementary,19,17,14,4,50,31,112,,,7.6923076923076925,6.882591093117409,5.668016194331984,1.6194331983805668,20.242914979757085,12.550607287449392,45.34412955465587,,
Miraloma Elementary,45,8,20,9,61,60,146,,1,12.857142857142856,2.2857142857142856,5.714285714285714,2.571428571428571,17.42857142857143,17.142857142857142,41.714285714285715,,0.2857142857142857
